Algorithm ,Capacity ,# of Iterations ,MaxValue, Time(in NS), Experiment Weight Range
Iterative,  50,  510,  144, 1,  ( C - 1)) +(int)(0.5 *C)
Recursive,  50,  173,  144, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  50,  10,  141, 15,  ( C - 1)) +(int)(0.5 *C)
Iterative,  100,  1520,  92, 0,  ( C - 1)) +(int)(0.5 *C)
Recursive,  100,  293,  92, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  100,  20,  102, 0,  ( C - 1)) +(int)(0.5 *C)
Iterative,  1000,  11530,  160, 2,  ( C - 1)) +(int)(0.5 *C)
Recursive,  1000,  581,  160, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  1000,  30,  194, 0,  ( C - 1)) +(int)(0.5 *C)
Iterative,  5000,  61540,  60, 15,  ( C - 1)) +(int)(0.5 *C)
Recursive,  5000,  672,  60, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  5000,  40,  60, 0,  ( C - 1)) +(int)(0.5 *C)
Iterative,  10000,  161550,  98, 7,  ( C - 1)) +(int)(0.5 *C)
Recursive,  10000,  815,  98, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  10000,  50,  94, 0,  ( C - 1)) +(int)(0.5 *C)
Iterative,  100000,  1161560,  75, 33,  ( C - 1)) +(int)(0.5 *C)
Recursive,  100000,  965,  75, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  100000,  60,  106, 0,  ( C - 1)) +(int)(0.5 *C)
Iterative,  1000000,  11161570,  90, 381,  ( C - 1)) +(int)(0.5 *C)
Recursive,  1000000,  1085,  90, 0,  ( C - 1)) +(int)(0.5 *C)
Greedy,  1000000,  70,  87, 0,  ( C - 1)) +(int)(0.5 *C)
